"","Sample","Proportion","Ct","OTU"
"153","X25C","0.203","22.23","OTU2"
"154","X25M","0.0065","24.63","OTU2"
"155","X26C","0","22.65","OTU2"
"156","X26M","0.0055","29.75","OTU2"
"157","X27C","0.99725","23.25","OTU2"
"158","X27M","0.99725","28.4","OTU2"
"159","X28C","0.00575","18.61","OTU2"
"160","X28M","0","20.68","OTU2"
"161","X29C","0.98325","26.71","OTU2"
"162","X29M","0.97575","29.21","OTU2"
"163","X30C","0.98825","23.94","OTU2"
"164","X31C","0.93075","22.87","OTU2"
"165","X31M","0.82275","30.8","OTU2"
"166","X32C","0.975","26.11","OTU2"
"167","X34C","0","18.5","OTU2"
"168","X34M","0","19.1","OTU2"
"169","X35C","0.961","24.87","OTU2"
"170","X36C","0.9735","28.05","OTU2"
"171","X37C","0.9925","22.89","OTU2"
"172","X37M","0.978","29.18","OTU2"
"173","X38C","0.99975","23.57","OTU2"
"174","X38M","0.9775","28.21","OTU2"
"175","X39C","0","22.48","OTU2"
"176","X39M","0","22.9","OTU2"
"177","X40C","0.97625","24.99","OTU2"
"178","X40M","0.99075","29.08","OTU2"
"179","X41C","0.05","21.83","OTU2"
"180","X41M","0","25.46","OTU2"
"181","X42C","1","19.62","OTU2"
"182","X42M","0.223","29.88","OTU2"
"183","X43C","5e-04","27.35","OTU2"
"184","X44C","0.00725","27.98","OTU2"
"185","X45C","0.84075","28.23","OTU2"
"186","X46C","0.0675","27.92","OTU2"
"187","X47C","0.99975","24.12","OTU2"
"188","X47M","0.32025","33.27","OTU2"
"189","X48M","0.036","28.03","OTU2"
"190","X49C","0.0095","19.86","OTU2"
"191","X50M","0","23.93","OTU2"
"192","X51M","0.00175","34.14","OTU2"
"193","X52C","0.94875","25.23","OTU2"
"194","X52M","0.8895","30.43","OTU2"
"195","X53C","0.78825","22.24","OTU2"
"196","X54C","1","21.07","OTU2"
"197","X55C","0.657","25.35","OTU2"
"198","X56M","0.002","31.92","OTU2"
"199","X57M","0.00025","27.24","OTU2"
"200","X58M","5e-04","26.87","OTU2"
"201","X60C","0.98125","26.07","OTU2"
"202","X60M","0.977","27.97","OTU2"
"203","X61C","0.9955","26.29","OTU2"
"204","X62C","0.46","24.71","OTU2"
"205","X62M","0.0055","31.1","OTU2"
"206","X64C","0.00675","21.76","OTU2"
"207","X65M","0.001","26.97","OTU2"
"208","X66C","0.0455","23.33","OTU2"
"209","X66M","0.258","36.36","OTU2"
"210","X67C","0.41225","26.99","OTU2"
"211","X68C","0.37475","26.1","OTU2"
"212","X69C","0.56675","23.03","OTU2"
"213","X69M","0","23.43","OTU2"
"214","X70C","0","18.86","OTU2"
"215","X71C","0.76575","25.68","OTU2"
"216","X71M","0.25675","33.79","OTU2"
"217","X72C","0.29625","21.47","OTU2"
"218","X72M","0","32.94","OTU2"
"219","X73C","0.42875","22.85","OTU2"
"220","X74C","0.9445","25.92","OTU2"
"221","X75C","0.88125","21.34","OTU2"
"222","X76C","0.24125","21.68","OTU2"
"223","X77C","0.3695","23.29","OTU2"
"224","X77M","0.001","27.87","OTU2"
"225","X79C","0.005","24.47","OTU2"
"226","X80C","0.19975","29.4","OTU2"
"227","X01C","0","19.77","contaminants"
"228","X01M","0","22.57","contaminants"
"229","X02C","0.003","29.82","contaminants"
"230","X02M","0.7245","33.51","contaminants"
"231","X03C","0","18.64","contaminants"
"232","X04C","0","18.1","contaminants"
"233","X04M","0","24.04","contaminants"
"234","X05C","0","23.13","contaminants"
"235","X05M","0.27725","34.89","contaminants"
"236","X06C","0","22.59","contaminants"
"237","X06M","0.03675","35.27","contaminants"
"238","X07C","0.0095","28.87","contaminants"
"239","X08C","0.00025","26.25","contaminants"
"240","X08M","0.00225","25.89","contaminants"
"241","X09C","0","22.6","contaminants"
"242","X09M","0.01875","29.25","contaminants"
"243","X10C","0","23.46","contaminants"
"244","X10M","0.16425","31.29","contaminants"
"245","X11C","0","21.69","contaminants"
"246","X11M","0.01825","29.39","contaminants"
"247","X12C","0","24.77","contaminants"
"248","X12M","0.001","25.56","contaminants"
"249","X13C","0","24.38","contaminants"
"250","X13M","0.00025","24.16","contaminants"
"251","X14C","0","26.11","contaminants"
"252","X15C","0","18.58","contaminants"
"253","X15M","0","23.07","contaminants"
"254","X16C","0","23.53","contaminants"
"255","X17C","0","22.85","contaminants"
"256","X18C","5e-04","24.91","contaminants"
"257","X19C","0","23.65","contaminants"
"258","X19M","0.0455","29.7","contaminants"
"259","X20C","0","22.78","contaminants"
"260","X20M","0.0185","30.54","contaminants"
"261","X22C","0","16.18","contaminants"
"262","X22M","0","20.17","contaminants"
"263","X23C","0","19.3","contaminants"
"264","X23M","0","24.23","contaminants"
"265","X24C","0","25.63","contaminants"
"266","X25C","0","22.23","contaminants"
"267","X25M","0","24.63","contaminants"
"268","X26C","0","22.65","contaminants"
"269","X26M","0.00275","29.75","contaminants"
"270","X27C","0","23.25","contaminants"
"271","X27M","0.00275","28.4","contaminants"
"272","X28C","0","18.61","contaminants"
"273","X28M","0","20.68","contaminants"
"274","X29C","0","26.71","contaminants"
"275","X29M","0.02225","29.21","contaminants"
"276","X30C","0","23.94","contaminants"
"277","X31C","0","22.87","contaminants"
"278","X31M","0.01275","30.8","contaminants"
"279","X32C","0","26.11","contaminants"
"280","X34C","0","18.5","contaminants"
"281","X34M","0","19.1","contaminants"
"282","X35C","0","24.87","contaminants"
"283","X36C","0.001","28.05","contaminants"
"284","X37C","0","22.89","contaminants"
"285","X37M","0.01875","29.18","contaminants"
"286","X38C","0","23.57","contaminants"
"287","X38M","0.02225","28.21","contaminants"
"288","X39C","0","22.48","contaminants"
"289","X39M","0","22.9","contaminants"
"290","X40C","0","24.99","contaminants"
"291","X40M","0.007","29.08","contaminants"
"292","X41C","0","21.83","contaminants"
"293","X41M","0.00075","25.46","contaminants"
"294","X42C","0","19.62","contaminants"
"295","X42M","0.73475","29.88","contaminants"
"296","X43C","0.00125","27.35","contaminants"
"297","X44C","0.001","27.98","contaminants"
"298","X45C","0","28.23","contaminants"
"299","X46C","0","27.92","contaminants"
"300","X47C","0","24.12","contaminants"
"301","X47M","0.6675","33.27","contaminants"
"302","X48M","0.00175","28.03","contaminants"
"303","X49C","0","19.86","contaminants"
"304","X50M","5e-04","23.93","contaminants"
"305","X51M","0.00025","34.14","contaminants"
"306","X52C","0","25.23","contaminants"
"307","X52M","0.09","30.43","contaminants"
"308","X53C","0","22.24","contaminants"
"309","X54C","0","21.07","contaminants"
"310","X55C","0","25.35","contaminants"
"311","X56M","0","31.92","contaminants"
"312","X57M","0.00075","27.24","contaminants"
"313","X58M","0","26.87","contaminants"
