"","Sample","Groups","Tanks","Tissue_type","Health_status","Treatment","Weight","K_Factor"
"X16CS","16C","CSB","6B","C","S","B","204","1.108711078"
"X60CH","60C","CHA","7A","C","H","A","223","1.09601607"
"X32CH","32C","CHB","10B","C","H","B","183","1.1712"
"X11MH","11M","MHB","5B","M","H","B","208.4","1.213496692"
"X37CH","37C","CHB","11B","C","H","B","239.2","1.256687778"
"X52CH","52C","CHA","5A","C","H","A","263","1.224112579"
"X24CH","24C","CHB","8B","C","H","B","177.4","1.221192523"
"X21CS","21C","CSB","7B","C","S","B","190.4","1.095891736"
"X74CH","74C","CHA","10A","C","H","A","214","1.051782238"
"X47CH","47C","CHA","3A","C","H","A","210","1.066910532"
"X35MH","35M","MHB","10B","M","H","B","199.6","1.18970871"
"X45CS","45C","CSA","3A","C","S","A","205","1.101580499"
"X36CH","36C","CHB","11B","C","H","B","205","1.236326903"
"X29CH","29C","CHB","9B","C","H","B","194.6","1.216021388"
"X11CH","11C","CHB","5B","C","H","B","208.4","1.213496692"
"X27MH","27M","MHB","9B","M","H","B","215.4","1.131649445"
"X20MS","20M","MSB","7B","M","S","B","224","1.203678204"
"X40MH","40M","MHB","11B","M","H","B","211.2","1.16098516"
"X27CH","27C","CHB","9B","C","H","B","215.4","1.131649445"
"X54CH","54C","CHA","6A","C","H","A","205","1.193698761"
"X30CH","30C","CHB","9B","C","H","B","207.8","1.196041506"
"X09CH","09C","CHB","5B","C","H","B","182.8","1.258365238"
"X19CS","19C","CSB","7B","C","S","B","210.8","1.199362767"
"X19MS","19M","MSB","7B","M","S","B","210.8","1.199362767"
"X18CH","18C","CHB","7B","C","H","B","230.8","1.199033791"
"X06CH","06C","CHB","3B","C","H","B","199.4","1.08371073"
"X20CS","20C","CSB","7B","C","S","B","224","1.203678204"
"X40CH","40C","CHB","11B","C","H","B","211.2","1.16098516"
"X17CS","17C","CSB","6B","C","S","B","219.8","1.181109238"
"X29MH","29M","MHB","9B","M","H","B","194.6","1.216021388"
"X61CS","61C","CSA","8A","C","S","A","222","1.0911012"
"X54MH","54M","MHA","6A","M","H","A","205","1.193698761"
"X38CS","38C","CSB","11B","C","S","B","215.8","1.227810651"
"X37MH","37M","MHB","11B","M","H","B","239.2","1.256687778"
"X14CH","14C","CHB","6B","C","H","B","197.2","1.203388234"
"X09MH","09M","MHB","5B","M","H","B","182.8","1.258365238"
"X38MS","38M","MSB","11B","M","S","B","215.8","1.227810651"
"X42CS","42C","CSA","1A","C","S","A","206","1.001418319"
"X05CH","05C","CHB","3B","C","H","B","184.8","1.114503472"
"X05MH","05M","MHB","3B","M","H","B","184.8","1.114503472"
